"Wind_direction","Humidity","Pressure ","Temperature"
"306.8","42.6","904.3","-0.3"
"312.3","41.4","906.8","0.3"
"298.8","41.2","913.4","0.6"
"309.2","40.8","933.2","0.8"
"306.4","40.4","932.6","1.1"
"292.1","39.5","931.9","1.6"
"283.1","38.1","930.4","2.5"
"292.9","38.1","930.6","2.7"
"295.6","37.9","931","3"
"314.8","37.3","928.1","3.3"
"10.2","37","930.2","3.3"
"303.8","37.2","916.2","3.4"
"45.2","35.6","916.5","4.6"
"296.2","35.8","916.5","4.3"
"133.1","37.3","915.5","4.3"
"118.7","38.3","916.4","3.9"
"119","38.9","917.2","4.1"
"120.2","39.5","917.6","3.8"
"109.8","40","915.6","3.9"
"98.4","40","906.7","4.2"
"116.3","40.4","899.5","4"
"129.3","40.8","897.4","3.9"
"109.4","41","895.8","3.8"
"104.3","42.2","894.2","3.5"
"101.8","42.9","893.1","3.2"
"99.3","43.3","892","3"
"103.1","44.3","891.2","2.7"
"105.1","45","890.5","2.4"
"103.8","45.6","889.8","2.1"
"112.1","46.3","889.6","1.8"
"110.8","46.9","889.3","1.6"
"109.3","47.9","889.1","1.3"
"106","48.4","888.8","0.9"
"101.5","49.4","888.7","0.5"
"97.1","49.8","888.5","0.3"
"96.2","48.3","888.2","0.5"
"95.8","48.8","888.1","0.1"
"92.2","48.6","887.8","0"
"94.2","48.1","887.7","0"
"89.2","48.2","887.4","-0.1"
"92.5","48.6","887.3","-0.2"
"93.5","48.3","887.1","-0.2"
"94.4","48.4","887","-0.4"
"97.4","48.5","886.8","-0.5"
"96.1","48","886.6","-0.5"
"87.4","47.7","886.5","-0.5"
"91.3","47.4","886.3","-0.7"
"98.8","46.3","886.2","-0.7"
"100","46.1","886","-0.7"
"99.2","46","885.9","-0.9"
"94.3","45.7","885.8","-1.1"
"93.2","45.5","885.6","-1.2"
"94","45.7","885.5","-1.5"
"88.3","45.7","885.3","-1.6"
"77.4","45.8","885.1","-1.7"
"81.2","45.5","884.9","-1.7"
"81.1","45.8","884.8","-1.9"
"79.9","45.7","884.6","-2"
"79.6","45.4","884.4","-2"
"90.9","45.6","884.3","-2.1"
"95.6","46.1","884.1","-2.2"
"88","46.7","884","-2.3"
"83.5","47.5","883.8","-2.5"
"76.4","47","883.6","-2.4"
"72.8","47.3","883.4","-2.4"
"75.3","46.9","883.3","-2.4"
"79.1","47.8","883.2","-2.7"
"93.3","48","883","-2.9"
"85.5","48.7","882.7","-3.2"
"95.6","47.8","882.6","-3"
"97.1","47.6","882.4","-3"
"88.6","46.7","882.2","-3"
"87.3","47","882.1","-3.2"
"92.4","47.8","881.9","-3.5"
"92.5","48","881.7","-3.6"
"87.5","48.1","881.6","-3.8"
"83.4","47.9","881.4","-3.6"
"87.3","48","881.2","-3.7"
"88.8","48.6","881.1","-4"
"97.5","49.4","881","-4.2"
"88.9","50","880.8","-4.5"
"84","50.7","880.7","-4.7"
"92.9","51.7","880.6","-4.8"
"96.9","51.3","880.4","-4.7"
"90.2","51.6","880.3","-4.7"
"86.5","51.7","880.4","-4.7"
"85.2","52.8","880.6","-4.9"
"81.9","51.9","881.2","-4.8"
"85.7","51.4","882.2","-4.7"
